,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Hashtags,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
0,2020-09-01 01:08:15+00:00,https://twitter.com/Anthony_Chiang/status/1300601329824522240,"Jimmy Butler has been so impressive tonight, getting into the paint against this Bucks defense. He has 29 points on 9-of-16 shooting from the field and 10-of-11 shooting on free throws.",Anthony_Chiang,49,15,,,64,0.7,0.9,0.010661454990622658,0.9893385450093789,-0.9786770900187562
1,2020-09-01 01:07:59+00:00,https://twitter.com/MarkJonesESPN/status/1300601261427916801,Playoff Jimmy Butler folks.. You remember right ?,MarkJonesESPN,25,5,,,30,0.2857142857142857,0.5357142857142857,0.9859621647753705,0.014037835224631142,0.9719243295507394
2,2020-09-01 01:07:35+00:00,https://twitter.com/NekiasNBA/status/1300601161255444481,this has felt like a B- offensive game for jimmy butler and he has 29 freaking points lol,NekiasNBA,65,13,,,78,0.2,0.55,0.2265178477500009,0.7734821522500038,-0.546964304500003
3,2020-09-01 01:07:23+00:00,https://twitter.com/BrickbyBrickNBA/status/1300601110437167105,Jimmy Butler! Heat up 3! #HeatTwitter,BrickbyBrickNBA,9,0,,#HeatTwitter #HeatTwitter,9,0.0,0.0,0.7992689595229864,0.2007310404770137,0.5985379190459726
4,2020-09-01 01:06:25+00:00,https://twitter.com/max_abadin/status/1300600866471174144,Jimmy Butler when Giannis comes to the Heat #HEATTwitter #Heatin4,max_abadin,14,2,,#HEATTwitter #HEATTwitter #Heatin4,16,0.0,0.0,0.12480656199031433,0.875193438009684,-0.7503868760193696
5,2020-09-01 01:06:11+00:00,https://twitter.com/HeatvsHaters/status/1300600807998586880,I love Jimmy Butler,HeatvsHaters,581,119,,,700,0.5,0.6,0.9508811327649226,0.0491188672350781,0.9017622655298445
6,2020-09-01 01:01:43+00:00,https://twitter.com/TheMalcolmWrig1/status/1300599682910097409,I’m here for the @JimmyButler Wes Matthew matchup. @Chris_Broussard Delicious #nba #NBAPlayoffs,TheMalcolmWrig1,0,0,,#nba #nba #NBAPlayoffs #NBAPlayoffs,0,1.0,1.0,0.9361463372008093,0.06385366279919281,0.8722926744016165
7,2020-09-01 00:56:32+00:00,https://twitter.com/JJMaples55_MST/status/1300598379487977479,Lmao Jimmy Butler told his family stay yo ass at home this is a business trip. The legend continues,JJMaples55_MST,276,97,,,373,0.6,1.0,0.7580248108597598,0.24197518914024022,0.5160496217195196
8,2020-09-01 00:50:19+00:00,https://twitter.com/basketb4ever/status/1300596817181237249,Butleeer #heat #bucks #jimmybutler Para mas ... FOLLOW @basketb4ever . . . #baloncestonba #baloncesto ##NBA #nbaplayoffs #basket4ever #WholeNewGame,basketb4ever,1,0,,#heat #bucks #jimmybutler #baloncestonba #baloncesto #NBA #NBA #nbaplayoffs #nbaplayoffs #basket4ever #WholeNewGame #WholeNewGame,1,0.0,0.0,0.8755917107843655,0.12440828921563339,0.7511834215687321
9,2020-09-01 00:40:42+00:00,https://twitter.com/26jacobp26/status/1300594396719583232,Goran Dragic and Jimmy Butler rn ,26jacobp26,171,36,,,207,0.0,0.0,0.789996628953776,0.2100033710462248,0.5799932579075512
10,2020-09-01 00:40:06+00:00,https://twitter.com/AnkneyScott/status/1300594246647533568,Has anyone ever seen @JimmyButler and @iamjamiefoxx in the same room before...?,AnkneyScott,0,0,,,0,0.0,0.125,0.9268700232782059,0.07312997672179003,0.8537400465564159
11,2020-09-01 00:39:06+00:00,https://twitter.com/BleacherReport/status/1300593994267680770,"""This is a business trip for me."" Jimmy Butler said he respects players for inviting their families but he chose not to invite anyone to the bubble ",BleacherReport,8228,910,,,9138,0.0,0.0,0.035049530094179576,0.9649504699058232,-0.9299009398116437
12,2020-09-01 00:36:46+00:00,https://twitter.com/MiamiHEAT/status/1300593407484727297, @JimmyButler. . . WITH AUTHORITY ,MiamiHEAT,1013,228,,,1241,0.0,0.0,0.9324281391701866,0.067571860829814,0.8648562783403726
13,2020-09-01 00:35:36+00:00,https://twitter.com/SheaSerrano/status/1300593113539457025,it seems like jimmy butler always 20 percent hates whoever it is he’s playing against and i love that about him,SheaSerrano,625,60,,,685,0.5,0.6,0.048093693749541956,0.9519063062504562,-0.9038126125009143
14,2020-09-01 00:29:15+00:00,https://twitter.com/trippinondacove/status/1300591515002195970,JB @JimmyButler gettin it in on the @Bucks,trippinondacove,0,0,,,0,0.0,0.0,0.9680584991149768,0.03194150088502089,0.9361169982299559
15,2020-09-01 00:28:04+00:00,https://twitter.com/sonnycrockets/status/1300591216698982400,I miss you jimmy butler @sixers,sonnycrockets,0,0,,,0,0.0,0.0,0.6499249790130258,0.35007502098697424,0.2998499580260516
16,2020-09-01 00:28:00+00:00,https://twitter.com/VinnyD1234/status/1300591198529376256,I still can’t believe the @chicagobulls traded @JimmyButler,VinnyD1234,0,0,,,0,0.0,0.0,0.7557314914723637,0.24426850852763832,0.5114629829447255
17,2020-09-01 00:27:31+00:00,https://twitter.com/minakimes/status/1300591078047772674,"Jimmy Butler is the person on every reality show who says ""I'm not here to make friends"" on the first episode",minakimes,5625,573,,,6198,0.25,0.3333333333333333,0.7786748548830715,0.2213251451169243,0.5573497097661473
18,2020-09-01 00:27:03+00:00,https://twitter.com/KateBDoll/status/1300590959869165569,Jimmy butler is on a business trip. ,KateBDoll,142,30,,,172,0.0,0.0,0.754090561660845,0.24590943833915727,0.5081811233216877
19,2020-09-01 00:47:32+00:00,https://twitter.com/BetFastcom/status/1300596116367400960,"BleacherReport: ""This is a business trip for me."" Jimmy Butler said he respects players for inviting their families but he chose not to invite anyone to the bubble http://btf.st/odds http://btf.st/BetNow #Sportsbetting #Sportsbooks",BetFastcom,0,1,,#Sportsbetting #Sportsbooks,1,0.0,0.0,0.035049530094179576,0.9649504699058232,-0.9299009398116437
20,2020-09-01 00:22:39+00:00,https://twitter.com/lisa2kfan/status/1300589855412563968,"If @JimmyButler s mustache gets any longer, it could be considered a sixth man on the floor ",lisa2kfan,0,0,,,0,0.0,0.0,0.7977133353481133,0.20228666465188505,0.5954266706962282
21,2020-08-31 19:13:48+00:00,https://twitter.com/StanShady8/status/1300512126721757186,Let’s get it @JimmyButler @MiamiHEAT,StanShady8,0,0,,,0,0.0,0.0,0.9398743868498977,0.0601256131501016,0.8797487736997961
22,2020-08-31 17:34:43+00:00,https://twitter.com/TheNBACentral/status/1300487193778159617,"""Aldridge had repaired his relationship with Blazers superstar Damian Lillard, and one agent suggests the Spurs could ship him back to the Blazers. . .DeRozan is close with Miami Heat star Jimmy Butler, and one agent forecast a possible Spurs-Heat package."" - CNBC’s Jabari Young ",TheNBACentral,3678,655,,,4333,0.03333333333333333,0.4666666666666666,0.07813077456669211,0.9218692254333076,-0.8437384508666155
23,2020-08-31 02:51:27+00:00,https://twitter.com/LoranLeech/status/1300264912711823361," This is awesome. You know... this is something I needed tonight. Put an extra smile on my face. Maybe other people needed it to. Thank you @JimmyButler, @CJC9BOSS and @eric_nehm!",LoranLeech,0,0,,,0,0.29375,0.39375000000000004,0.9934649019202071,0.006535098079788169,0.986929803840419
24,2020-08-31 01:17:10+00:00,https://twitter.com/MarquetteMBB/status/1300241185802539008,#mubb We can’t wait to see @WessyWes23 @CJC9BOSS and @JimmyButler in a great playoff series. They are all No. 1 in our book! @MiamiHEAT @Bucks,MarquetteMBB,805,76,,#mubb,881,0.8,0.75,0.9914728293604277,0.008527170639575664,0.982945658720852
25,2020-08-30 23:36:11+00:00,https://twitter.com/wadesever/status/1300215771260497922,"AND NOW STAND UP AND MAKE SOME NOISE FOR YOUR MIAMI HEAT NUMBER 99, JAE CROWDER NUMBER 55, DUNCAN ROBINSON NUMBER 7, GORAN DRAGIC NUMBER 13, BAM ADEBAYO AND NUMBER 22, JIMMY BUTLER YOUR MIAAAAMIIIII HEEAAAAATT ",wadesever,34,1,,,35,0.0,0.0,0.7137187701558966,0.28628122984410104,0.42743754031179554
26,2020-08-30 22:05:37+00:00,https://twitter.com/marchmadness/status/1300192978196148229,"Jimmy: “Jae, you last!” Jae: “Last in what?” Jimmy: “Nothing. ” @JimmyButler &amp; @CJC9BOSS had some fun with the media ranking the 3 former @MarquetteMBB stars in the @MiamiHEAT-@Bucks series. ",marchmadness,1167,185,,,1352,0.075,0.08333333333333334,0.9984839527315031,0.0015160472684998842,0.9969679054630033
27,2020-08-30 21:21:36+00:00,https://twitter.com/Brendan_Tobin/status/1300181903014866944,Jimmy Butler is not interested in Miami being the popular underdog pick ,Brendan_Tobin,498,98,,,596,0.2375,0.7,0.5912735176598689,0.4087264823401299,0.18254703531973898
28,2020-08-30 15:04:35+00:00,https://twitter.com/HeatXRocky/status/1300087024112865280,i love jimmy butler ,HeatXRocky,6,0,,,6,0.5,0.6,0.9508811327649226,0.0491188672350781,0.9017622655298445
29,2020-08-30 13:21:53+00:00,https://twitter.com/hardenfacts/status/1300061176517320705,"Jimmy butler appreciation tweet Man went from his father leaving him and his mom kicking him out of the house at 13 where he became homeless. then to be drafted in the 30th pick, to winning the most improved player, to becoming an All-Star Now that’s a champ for me ",hardenfacts,408,67,,,475,0.48333333333333334,0.7000000000000001,0.005987797876281226,0.9940122021237211,-0.9880244042474399
30,2020-08-30 05:38:04+00:00,https://twitter.com/BronAndBrow/status/1299944453793222657,Jimmy Butler definitely hit ,BronAndBrow,20,2,,,22,0.0,0.5,0.8755917107843288,0.12440828921567015,0.7511834215686587
31,2020-08-25 16:43:33+00:00,https://twitter.com/HeatvsHaters/status/1298299990473953280,It’s not ideal to get Jimmy Butler upset. CLAMPS!!! ,HeatvsHaters,1777,389,,,2166,-0.45,1.0,0.5102553927131066,0.4897446072868918,0.020510785426214817
32,2020-08-25 14:04:54+00:00,https://twitter.com/BradyHawk305/status/1298260063186894853,The duo of Jimmy Butler and Bam Adebayo were a plus-50 in the first round against the Indiana Pacers.,BradyHawk305,288,48,,,336,0.024999999999999994,0.3666666666666667,0.8281265327664548,0.17187346723354413,0.6562530655329106
33,2020-08-25 01:22:55+00:00,https://twitter.com/MiamiAlejandro/status/1298068304242843649,Jimmy Butler to TJ Warren this series: ,MiamiAlejandro,802,221,,,1023,0.0,0.0,0.7328104698376113,0.2671895301623893,0.46562093967522206
34,2020-08-25 01:17:25+00:00,https://twitter.com/LegionHoops/status/1298066919061221376,"“Jimmy signed with Miami to have fun, not to win.” Silence the noise, Jimmy Butler. ",LegionHoops,3401,623,,,4024,0.55,0.30000000000000004,0.9118180287886422,0.0881819712113577,0.8236360575772844
