,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Hashtags,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
0,2020-05-08 08:02:08+00:00,https://twitter.com/pgk1993/status/1258668495644000256,"Castor Oil USDA Organic Cold-Pressed 100% Pure, Hexane-Free Castor Oil - Moisturizing &amp; Healing, For Dry Skin, Hair Growth - For Skin, Hair Care, Eyelashes - Caster Oil By Sky Organics, 16oz (1 Pack) https://ift.tt/2L7eBrz",pgk1993,0,0,,,0,0.07380952380952381,0.55,0.9569071151661582,0.04309288483383995,0.9138142303323182
1,2020-05-08 08:01:50+00:00,https://twitter.com/crudeoilpeak/status/1258668418338656257,It will be interesting to watch whether or to which extent the #Coronavirus can solve the peak oil problem in China. Their imports can come from demand destruction in Western countries caused by lack of timely virus knowledge and inability to restrict movements quickly ,crudeoilpeak,0,0,,#Coronavirus,0,0.27777777777777773,0.3333333333333333,0.4049167870031026,0.5950832129968959,-0.19016642599379335
2,2020-05-08 07:54:05+00:00,https://twitter.com/Innaalek/status/1258666466959929344,"On #koinpro, you can trade BTC in pairs with top #exchange indexes from all over the world, such as DJ30, GER30, SP500, EUSTX50, TECH100, UK100, JPN225. It is also possible to trade in pairs with gold, oil &amp; the US dollar in two variations of the contract. https://www.koinpro.com",Innaalek,0,0,,#koinpro #exchange,0,0.16666666666666666,0.6666666666666666,0.8297137335633058,0.17028626643669198,0.6594274671266138
3,2020-05-08 07:51:15+00:00,https://twitter.com/sathia_varqa/status/1258665754674651136,The Malaysian Ringgit is 4.3255 to one U.S. Dollar #palmoil Get a free trial of Palm Oil Analytics newsletter: info@palmoilanalytics.com Visit http://palmoilanalytics.com/ppt for more prices,sathia_varqa,0,0,,#palmoil,0,0.45,0.65,0.38454274550936873,0.6154572544906307,-0.23091450898126198
4,2020-05-08 07:50:23+00:00,https://twitter.com/sathia_varqa/status/1258665537170636800,BMD is higher May +30 2030 -13 lots Jun +58 2011 -502 lots Jul +53 1999 -12398 lots Aug +52 2000 -3833 lots Sep +53 2015 -3252 lots Vol 26281 lots #palmoil Get a free trial of Palm Oil Analytics newsletter: info@palmoilanalytics.com Visit http://palmoilanalytics.com/ppt for more prices,sathia_varqa,0,0,,#palmoil,0,0.3833333333333333,0.6,0.04163601664819476,0.9583639833518014,-0.9167279667036067
5,2020-05-08 07:41:30+00:00,https://twitter.com/Muhamma04926949/status/1258663302189797376,https://ift.tt/2OcWF0P ThermoPro TP03 Digital Instant Read Meat Thermometer Kitchen Cooking Food Candy Thermometer with Backlight and Magnet for Oil Deep Fry BBQ Grill Smoker Thermometer https://ift.tt/2YJnxLD,Muhamma04926949,0,0,,,0,0.0,0.35555555555555557,0.9859552133222564,0.014044786677743643,0.9719104266445128
6,2020-05-08 07:28:37+00:00,https://twitter.com/FamfaOilLimited/status/1258660058302464000,"Hey, it's Friday! What have you achieved this week? Can you start writing 'have-done' lists to celebrate your achievements rather that constant 'to-do' lists about what you haven't done. #FamfaInspires #WeeklyChallenge",FamfaOilLimited,0,0,,#FamfaInspires #WeeklyChallenge,0,0.0,0.3333333333333333,0.004949411573446366,0.9950505884265525,-0.9901011768531061
7,2020-05-08 07:04:28+00:00,https://twitter.com/ap9650104962/status/1258653981418631168,Thanjai Natural 3 litres Gingelly Oil/Natural Sesame Oil Organic Unrefined Wooden Cold Pressed Gingelly Oil/Natural Sesame Oil for Cooking- Heart Health + Cholesterol Free + No Preservatives https://amzn.to/Thanjai-Natural-Unrefined-Cholesterol-Preservatives/dp/B084T2XZBK/ref=zg_bsnr_grocery_29/261-0585081-2845469?_encoding=UTF8&amp;psc=1&amp;refRID=R1M980HW78PY3K0TP3X9,ap9650104962,0,0,,,0,-0.024999999999999994,0.55,0.10560126377632521,0.8943987362236774,-0.7887974724473522
8,2020-05-08 06:41:06+00:00,https://twitter.com/WomenOil/status/1258648101528702976,"#Africa: Ethiopian women deployed in the fight against Italian invasion, 1935.",WomenOil,16,14,,#Africa,30,0.0,0.0,0.941837825289635,0.058162174710363924,0.8836756505792711
9,2020-05-08 05:50:02+00:00,https://twitter.com/SiteFocusHQ/status/1258635250847985665,"$HES Earnings Intelligence Analysis of recent earnings identified Hess Corp. (NYSE: HES ) business focus on (long-term,oil,wti), (cash,low-price,oil), (near-term,oil) , (oil,rig), (oil,rig,wti) https://www.sitefocus.com/ei-product",SiteFocusHQ,0,0,,,0,0.0,0.25,0.9047946090812723,0.09520539091872707,0.8095892181625453
